Time;Action
747483780.000000;20.000000
747483780.000000;22.000000
747484410.000000;25.000000
747484460.000000;26.000000
747486620.000000;23.000000
747486620.000000;29.000000
747486620.000000;36.000000
747489270.000000;24.000000
747528270.000000;25.000000
747529270.000000;26.000000
747530070.000000;25.000000
747531330.000000;26.000000
747532330.000000;25.000000
747532730.000000;26.000000
747533280.000000;25.000000
747533390.000000;26.000000
747533940.000000;25.000000
747535200.000000;26.000000
747538810.000000;25.000000
747539360.000000;26.000000
747539710.000000;25.000000
747541070.000000;26.000000
747541420.000000;25.000000
747541720.000000;26.000000
747541770.000000;25.000000
747542670.000000;26.000000
747542820.000000;25.000000
747543020.000000;26.000000
747543270.000000;25.000000
747544120.000000;26.000000
747572640.000000;33.000000
748206700.000000;27.000000
748207200.000000;28.000000
748213030.000000;23.000000
748213080.000000;24.000000
748213130.000000;23.000000
748213440.000000;24.000000
748215190.000000;25.000000
748215190.000000;17.000000
748215190.000000;19.000000
748215190.000000;21.000000
748215340.000000;26.000000
748217560.000000;23.000000
748217610.000000;24.000000
748217660.000000;23.000000
748217710.000000;24.000000
748218110.000000;23.000000
748218310.000000;24.000000
748218560.000000;23.000000
748218760.000000;24.000000
748218910.000000;23.000000
748219210.000000;24.000000
748219260.000000;23.000000
748219810.000000;24.000000
748219910.000000;23.000000
748220160.000000;24.000000
748220370.000000;23.000000
748221210.000000;18.000000
748221210.000000;20.000000
748221210.000000;22.000000
748221870.000000;24.000000
748221920.000000;23.000000
748221920.000000;36.000000
748223170.000000;24.000000
748223270.000000;23.000000
748224220.000000;24.000000
748244840.000000;25.000000
748246290.000000;26.000000
748247840.000000;25.000000
748248090.000000;26.000000
748248940.000000;25.000000
748249490.000000;26.000000
748250240.000000;25.000000
748251050.000000;26.000000
748251100.000000;25.000000
748251400.000000;26.000000
748253550.000000;25.000000
748254200.000000;26.000000
748254660.000000;25.000000
748255660.000000;26.000000
748256860.000000;25.000000
748257010.000000;26.000000
748257760.000000;25.000000
748258370.000000;26.000000
748258620.000000;25.000000
748259320.000000;26.000000
748260120.000000;25.000000
748260270.000000;26.000000
748263480.000000;25.000000
748263730.000000;26.000000
748264130.000000;25.000000
748265190.000000;26.000000
748266390.000000;25.000000
748266590.000000;26.000000
748267060.000000;25.000000
748267160.000000;26.000000
748267960.000000;25.000000
748268110.000000;26.000000
748292920.000000;33.000000
748294540.000000;25.000000
748294540.000000;17.000000
748294540.000000;19.000000
748294540.000000;21.000000
748294690.000000;26.000000
748296340.000000;25.000000
748296440.000000;26.000000
748297540.000000;20.000000
748297540.000000;22.000000
748297540.000000;18.000000
748298090.000000;23.000000
748298090.000000;29.000000
748298090.000000;36.000000
748300850.000000;24.000000
748323180.000000;25.000000
748324230.000000;26.000000
748324880.000000;25.000000
748324930.000000;26.000000
748325580.000000;25.000000
748325630.000000;26.000000
748325680.000000;25.000000
748325730.000000;26.000000
748325830.000000;25.000000
748326080.000000;26.000000
748326180.000000;25.000000
748326580.000000;26.000000
748327080.000000;25.000000
748327180.000000;26.000000
748327380.000000;25.000000
748327480.000000;26.000000
748327530.000000;25.000000
748327630.000000;26.000000
748327680.000000;25.000000
748328040.000000;26.000000
748328490.000000;25.000000
748329000.000000;26.000000
748329700.000000;25.000000
748329750.000000;26.000000
748331100.000000;25.000000
748331200.000000;26.000000
748335100.000000;33.000000
748337500.000000;25.000000
748337500.000000;17.000000
748337500.000000;19.000000
748337500.000000;21.000000
748337600.000000;26.000000
748343180.000000;23.000000
748343480.000000;24.000000
748343530.000000;18.000000
748343530.000000;20.000000
748343530.000000;22.000000
748343580.000000;23.000000
748343580.000000;36.000000
748343780.000000;24.000000
748343940.000000;23.000000
748344090.000000;24.000000
748344290.000000;23.000000
748346800.000000;24.000000
748349270.000000;25.000000
748349670.000000;26.000000
748349870.000000;25.000000
748349980.000000;26.000000
748350480.000000;25.000000
748350530.000000;26.000000
748350580.000000;25.000000
748350680.000000;26.000000
748350980.000000;25.000000
748351200.000000;26.000000
748351250.000000;25.000000
748351340.000000;26.000000
748351700.000000;25.000000
748351750.000000;26.000000
748352500.000000;25.000000
748352700.000000;26.000000
748352850.000000;25.000000
748353560.000000;26.000000
748353610.000000;25.000000
748353760.000000;26.000000
748353910.000000;25.000000
748355110.000000;26.000000
748355160.000000;25.000000
748355210.000000;26.000000
748355620.000000;25.000000
748355720.000000;26.000000
748355870.000000;25.000000
748355970.000000;26.000000
748393590.000000;33.000000
748462150.000000;25.000000
748462150.000000;17.000000
748462150.000000;19.000000
748462150.000000;21.000000
748462350.000000;26.000000
748463650.000000;25.000000
748463750.000000;26.000000
748465100.000000;25.000000
748465150.000000;26.000000
748466250.000000;23.000000
748466650.000000;24.000000
748466800.000000;23.000000
748466850.000000;24.000000
748467000.000000;23.000000
748467050.000000;24.000000
748467150.000000;23.000000
748467250.000000;24.000000
748467300.000000;23.000000
748467450.000000;24.000000
748468150.000000;18.000000
748468200.000000;20.000000
748468200.000000;22.000000
748469450.000000;27.000000
748469450.000000;30.000000
748469450.000000;36.000000
748472010.000000;28.000000
748489430.000000;27.000000
748498280.000000;28.000000
748499350.000000;25.000000
748499420.000000;26.000000
748499490.000000;25.000000
748499700.000000;26.000000
748500520.000000;25.000000
748500870.000000;26.000000
748500970.000000;25.000000
748501020.000000;26.000000
748501070.000000;25.000000
748501320.000000;26.000000
748503330.000000;25.000000
748503580.000000;26.000000
748506940.000000;25.000000
748506990.000000;26.000000
748507040.000000;25.000000
748507590.000000;26.000000
748508290.000000;25.000000
748508390.000000;26.000000
748508740.000000;25.000000
748509350.000000;26.000000
748509400.000000;25.000000
748509500.000000;26.000000
748509900.000000;25.000000
748510050.000000;26.000000
748517800.000000;25.000000
748517900.000000;26.000000
748519250.000000;25.000000
748519800.000000;26.000000
748519950.000000;25.000000
748520100.000000;26.000000
748520710.000000;25.000000
748520810.000000;26.000000
748521560.000000;25.000000
748521710.000000;26.000000
748521860.000000;25.000000
748522260.000000;26.000000
748523210.000000;25.000000
748523260.000000;26.000000
748529560.000000;25.000000
748529610.000000;26.000000
748529960.000000;25.000000
748530310.000000;26.000000
748530860.000000;25.000000
748530960.000000;26.000000
748608470.000000;33.000000
748666830.000000;25.000000
748666830.000000;17.000000
748666830.000000;19.000000
748666830.000000;21.000000
748669240.000000;26.000000
748672850.000000;18.000000
748672850.000000;20.000000
748672850.000000;22.000000
748702820.000000;34.000000
748702820.000000;36.000000
748740860.000000;33.000000
748806300.000000;25.000000
748806300.000000;17.000000
748806300.000000;19.000000
748806300.000000;21.000000
748806500.000000;26.000000
748807800.000000;25.000000
748807900.000000;26.000000
748808250.000000;25.000000
748810100.000000;26.000000
748811210.000000;23.000000
748811460.000000;24.000000
748811860.000000;23.000000
748812070.000000;24.000000
748812370.000000;18.000000
748812370.000000;20.000000
748812370.000000;22.000000
748812470.000000;23.000000
748812470.000000;36.000000
748812720.000000;24.000000
748812920.000000;23.000000
748813070.000000;24.000000
748813270.000000;23.000000
748813370.000000;24.000000
748813470.000000;23.000000
748813720.000000;24.000000
748815170.000000;27.000000
748816170.000000;28.000000
748816830.000000;25.000000
748817430.000000;26.000000
748817630.000000;25.000000
748817730.000000;26.000000
748817880.000000;25.000000
748818030.000000;26.000000
748818080.000000;25.000000
748818180.000000;26.000000
748818380.000000;25.000000
748818680.000000;26.000000
748818730.000000;25.000000
748818880.000000;26.000000
748818980.000000;25.000000
748819140.000000;26.000000
748819290.000000;25.000000
748819890.000000;26.000000
748819940.000000;25.000000
748819990.000000;26.000000
748820250.000000;25.000000
748820300.000000;26.000000
748820350.000000;25.000000
748821350.000000;26.000000
748821410.000000;25.000000
748821460.000000;26.000000
748821870.000000;25.000000
748822070.000000;26.000000
748822270.000000;25.000000
748822320.000000;26.000000
748822370.000000;25.000000
748822470.000000;26.000000
748822920.000000;25.000000
748823220.000000;26.000000
748824220.000000;25.000000
748824320.000000;26.000000
748825070.000000;25.000000
748825120.000000;26.000000
748825470.000000;25.000000
748825530.000000;26.000000
748826780.000000;25.000000
748826930.000000;26.000000
748827080.000000;25.000000
748828640.000000;26.000000
748836050.000000;25.000000
748836150.000000;26.000000
748837250.000000;25.000000
748837350.000000;26.000000
748837500.000000;25.000000
748837600.000000;26.000000
748838350.000000;25.000000
748838600.000000;26.000000
748838700.000000;25.000000
748839160.000000;26.000000
748842210.000000;25.000000
748842260.000000;26.000000
748854120.000000;25.000000
748854270.000000;26.000000
748855170.000000;25.000000
748855520.000000;26.000000
748862740.000000;25.000000
748862990.000000;26.000000
748864190.000000;25.000000
748864240.000000;26.000000
748885670.000000;25.000000
748886170.000000;26.000000
748886270.000000;25.000000
748886320.000000;26.000000
748886970.000000;25.000000
748887130.000000;26.000000
748888840.000000;25.000000
748889090.000000;26.000000
748889490.000000;25.000000
748889790.000000;26.000000
748889940.000000;25.000000
748890090.000000;26.000000
748890340.000000;25.000000
748891860.000000;26.000000
748892910.000000;25.000000
748893010.000000;26.000000
748893930.000000;25.000000
748893930.000000;26.000000
748901480.000000;33.000000
748959520.000000;25.000000
748959520.000000;17.000000
748959520.000000;19.000000
748959520.000000;21.000000
748959670.000000;26.000000
748960720.000000;25.000000
748960820.000000;26.000000
748962580.000000;18.000000
748962580.000000;20.000000
748962580.000000;22.000000
748962580.000000;25.000000
748965400.000000;26.000000
748966550.000000;23.000000
748966550.000000;35.000000
748966550.000000;36.000000
748966800.000000;24.000000
748967520.000000;23.000000
748967620.000000;24.000000
748968420.000000;25.000000
748969120.000000;26.000000
748969170.000000;25.000000
748969320.000000;26.000000
748969570.000000;25.000000
748969770.000000;26.000000
748970320.000000;25.000000
748970370.000000;26.000000
748970620.000000;25.000000
748970720.000000;26.000000
748971480.000000;25.000000
748972030.000000;26.000000
748972430.000000;25.000000
748972480.000000;26.000000
748972780.000000;25.000000
748972930.000000;26.000000
748973630.000000;25.000000
748973630.000000;26.000000
748974880.000000;25.000000
748975030.000000;26.000000
748975380.000000;25.000000
748975480.000000;26.000000
748983450.000000;25.000000
748983620.000000;26.000000
748984810.000000;25.000000
748984910.000000;26.000000
748986810.000000;25.000000
748987010.000000;26.000000
749016580.000000;33.000000
749392590.000000;25.000000
749392590.000000;17.000000
749392590.000000;19.000000
749392590.000000;21.000000
749392750.000000;26.000000
749393000.000000;25.000000
749393150.000000;26.000000
749393650.000000;25.000000
749393950.000000;26.000000
749396160.000000;23.000000
749396310.000000;24.000000
